Chromosome,General_function,Representative_group,Numero_genes,Numero_SNPs
3,Not characterized,Not characterized,1753,8980
4,Biological process,sulfate assimilation,4,2093
4,Biological process,microtubule cytoskeleton organization,1,448
4,Biological process,karyogamy,24,359
4,Biological process,ribosome biogenesis,7,318
4,Biological process,carbohydrate metabolism,35,314
4,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,76,191
4,Biological process,dephosphorylation,29,174
4,Biological process,gluconeogenesis,1,144
4,Biological process,GDP-mannose biosynthesis,257,96
4,Biological process,response to auxin,7,89
4,Biological process,transcription DNA-templated,1,83
4,Biological process,nucleic acid phosphodiester bond hydrolysis,15,81
4,Biological process,tRNA modification,1,43
4,Biological process,hydrogen peroxide catabolism,1,39
4,Biological process,ribosomal small subunit biogenesis,3,37
4,Biological process,protein glycosylation,2,31
4,Biological process,RNA catabolic process,1,31
4,Biological process,protein folding,5,27
4,Biological process,peroxisomal membrane transport,71,26
4,Biological process,pectin catabolism,3,21
4,Biological process,amine metabolism,66,14
4,Biological process,protein K63-linked deubiquitination,13,14
4,Biological process,response to biotic stimulus,15,12
4,Biological process,carbon fixation,97,11
4,Biological process,arginine biosynthetic process via ornithine,1,8
4,Biological process,translational termination,1,8
4,Biological process,multicellular organism development,12,6
4,Biological process,photosynthetic electron transport chain,5,6
4,Biological process,positive regulation of GTPase activity,7,5
4,Biological process,positive regulation of nucleic acid-templated transcription,1,5
4,Biological process,developmental process,1,4
4,Biological process,mitotic spindle assembly checkpoint,1,4
4,Biological process,cellulose microfibril organization,1,3
4,Biological process,photosynthesis,2,3
4,Biological process,biosynthesis,5,2
4,Biological process,glycerolipid biosynthetic process,1,2
4,Biological process,intracellular protein transport,2,2
4,Biological process,lipid A biosynthetic process,1,2
4,Biological process,metabolism,35,2
4,Biological process,methylation,24,2
4,Biological process,respiratory electron transport chain,1,2
4,Biological process,SRP-dependent cotranslational protein targeting to membrane,1,2
4,Biological process,photosynthesis light harvesting,2,1
4,Biological process,proton transmembrane transport,1,1
4,Biological process,CAAX-box protein processing,55,0
4,Biological process,chromosome separation,18,0
4,Biological process,retrograde transport endosome to Golgi,10,0
4,Biological process,spindle assembly,1,0
4,Cellular component,Ski complex,23,1071
4,Cellular component,extracellular region,2,94
4,Cellular component,intracellular,13,83
4,Cellular component,cell,4,61
4,Cellular component,cell wall,4,36
4,Cellular component,integral component of membrane,212,18
4,Cellular component,membrane,2,14
4,Cellular component,proteasome core complex,2,12
4,Cellular component,thylakoid,21,12
4,Cellular component,R2TP complex,2,10
4,Cellular component,extracellular space,10,5
4,Cellular component,outer membrane,1,3
4,Cellular component,clathrin-coated pit,1,2
4,Molecular function,calcium-dependent phospholipid binding,12,337
4,Molecular function,inositol heptakisphosphate kinase activity,19,219
4,Molecular function,chromatin binding,4,147
4,Molecular function,AT DNA binding,32,143
4,Molecular function,chlorophyll binding,33,131
4,Molecular function,RNA polymerase II regulatory region sequence-specific DNA binding,3,75
4,Molecular function,actin binding,2,67
4,Molecular function,peptidyl-prolyl cis-trans isomerase activity,1,60
4,Molecular function,aminoacylase activity,28,54
4,Molecular function,catalytic activity,5,49
4,Molecular function,cyclic-nucleotide phosphodiesterase activity,1,43
4,Molecular function,SUMO transferase activity,8,38
4,Molecular function,3-dehydroquinate synthase activity,3,37
4,Molecular function,aminoacyl-tRNA ligase activity,1,31
4,Molecular function,GTPase activator activity,3,30
4,Molecular function,copper ion binding,59,28
4,Molecular function,protein phosphatase regulator activity,1,26
4,Molecular function,Lys63-specific deubiquitinase activity,11,21
4,Molecular function,drug transmembrane transporter activity,6,19
4,Molecular function,hydrolase activity,4,16
4,Molecular function,ligase activity,6,12
4,Molecular function,transferase activity,3,11
4,Molecular function,isomerase activity,1,8
4,Molecular function,blue light photoreceptor activity,2,7
4,Molecular function,calmodulin binding,16,7
4,Molecular function,antioxidant activity,1,6
4,Molecular function,calcium ion binding,9,5
4,Molecular function,ATP binding,2,4
4,Molecular function,heme binding,6,4
4,Molecular function,protein domain specific binding,8,4
4,Molecular function,oxidoreductase activity,1,3
4,Molecular function,phosphoric ester hydrolase activity,6,3
4,Molecular function,red chlorophyll catabolite reductase activity,2,3
4,Molecular function,zinc ion binding,30,3
4,Molecular function,nutrient reservoir activity,1,2
4,Molecular function,kinase activity,5,1
4,Molecular function,macromolecular complex binding,1,1
4,Molecular function,transcription factor activity sequence-specific DNA binding,2,1
4,Molecular function,carbohydrate binding,2,0
4,Not characterized,Not characterized,1152,5726
5,Biological process,recognition of pollen,52,996
5,Biological process,response to biotic stimulus,36,436
5,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,13,318
5,Biological process,mRNA splicing via spliceosome,1,227
5,Biological process,microtubule cytoskeleton organization,1,220
5,Biological process,fructose 6-phosphate metabolism,34,210
5,Biological process,macromolecule depalmitoylation,144,159
5,Biological process,cell wall modification,17,132
5,Biological process,glutathione catabolism,15,126
5,Biological process,protein maturation by iron-sulfur cluster transfer,35,113
5,Biological process,carbohydrate metabolism,34,100
5,Biological process,nucleotide-excision repair,2,82
5,Biological process,RNA polyadenylation,48,79
5,Biological process,translational termination,1,64
5,Biological process,dephosphorylation,6,61
5,Biological process,rRNA processing,1,60
5,Biological process,chromatin remodeling,1,50
5,Biological process,defense response to bacterium,12,43
5,Biological process,carbon fixation,114,42
5,Biological process,ubiquitin-dependent protein catabolic process,1,23
5,Biological process,GPI anchor biosynthetic process,1,17
5,Biological process,hydrogen peroxide catabolism,2,15
5,Biological process,phosphatidylinositol biosynthetic process,1,13
5,Biological process,protein folding,5,10
5,Biological process,lipid metabolism,1,9
5,Biological process,nitrogen compound metabolism,1,9
5,Biological process,regulation of catalytic activity,10,9
5,Biological process,vacuolar transport,51,9
5,Biological process,autophagy,2,8
5,Biological process,biosynthesis,4,8
5,Biological process,ER to Golgi vesicle-mediated transport,19,8
5,Biological process,cell proliferation,1,7
5,Biological process,post-chaperonin tubulin folding pathway,2,5
5,Biological process,negative regulation of catalytic activity,2,4
5,Biological process,organic substance metabolism,1,4
5,Biological process,photosynthesis light harvesting,1,4
5,Biological process,signal transduction,6,4
5,Biological process,intracellular protein transport,4,3
5,Biological process,phospholipid biosynthetic process,1,3
5,Biological process,positive regulation of GTPase activity,1,3
5,Biological process,actin filament depolymerization,1,2
5,Biological process,microtubule severing,6,2
5,Biological process,photosynthesis,2,2
5,Biological process,positive regulation of nucleic acid-templated transcription,1,2
5,Biological process,RNA processing,3,2
5,Biological process,metabolism,31,1
5,Biological process,multicellular organism development,2,1
5,Biological process,sexual reproduction,1,1
5,Biological process,methylation,20,0
5,Biological process,negative regulation of endopeptidase activity,5,0
5,Biological process,ribosome biogenesis,13,0
5,Cellular component,chloroplast,7,922
5,Cellular component,cell,3,55
5,Cellular component,integral component of membrane,197,46
5,Cellular component,protein kinase CK2 complex,10,39
5,Cellular component,prefoldin complex,2,33
5,Cellular component,apoplast,3,16
5,Cellular component,nucleus,11,13
5,Cellular component,photosystem II,2,13
5,Cellular component,thylakoid,12,12
5,Cellular component,membrane,3,7
5,Cellular component,cell wall,7,5
5,Cellular component,intracellular,2,3
5,Molecular function,calcium-dependent phospholipid binding,68,647
5,Molecular function,chlorophyll binding,25,190
5,Molecular function,transcription cofactor activity,1,151
5,Molecular function,AT DNA binding,31,126
5,Molecular function,chromatin binding,5,119
5,Molecular function,tRNA binding,2,97
5,Molecular function,GPI-anchor transamidase activity,26,59
5,Molecular function,intramolecular lyase activity,4,56
5,Molecular function,catalytic activity,13,54
5,Molecular function,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity,55,38
5,Molecular function,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase activity,1,35
5,Molecular function,calmodulin binding,12,28
5,Molecular function,hydrolase activity,9,27
5,Molecular function,metalloendopeptidase activity,1,27
5,Molecular function,carboxypeptidase activity,5,26
5,Molecular function,jasmonate-amino synthetase activity,4,24
5,Molecular function,flavin adenine dinucleotide binding,2,22
5,Molecular function,pyrimidine nucleotide-sugar transmembrane transporter activity,1,21
5,Molecular function,transferase activity,7,21
5,Molecular function,clathrin binding,8,14
5,Molecular function,potassium ion binding,36,14
5,Molecular function,ATP binding,1,13
5,Molecular function,chlorophyllide a oxygenase [overall] activity,5,13
5,Molecular function,lyase activity,1,8
5,Molecular function,carbohydrate binding,3,6
5,Molecular function,sequence-specific DNA binding,11,6
5,Molecular function,ligase activity,3,5
5,Molecular function,oxidoreductase activity,2,4
5,Molecular function,zinc ion binding,12,2
5,Molecular function,kinase activity,5,1
5,Molecular function,protein kinase activity,7,1
5,Molecular function,2 iron 2 sulfur cluster binding,1,0
5,Molecular function,quinone binding,1,0
5,Not characterized,Not characterized,866,4272
6,Biological process,sialylation,117,691
6,Biological process,response to heat,5,518
6,Biological process,angiogenesis,3,407
6,Biological process,glycerol-3-phosphate catabolism,17,348
6,Biological process,amine metabolism,60,213
6,Biological process,chromosome organization,14,210
6,Biological process,pectin catabolism,1,138
6,Biological process,chromatin silencing,1,125
6,Biological process,carbohydrate metabolism,40,114
6,Biological process,mannosylation,3,92
6,Biological process,peroxisome organization,5,86
6,Biological process,RNA polyadenylation,56,81
6,Biological process,glycolytic process,1,78
6,Biological process,response to biotic stimulus,20,75
6,Biological process,ribosome biogenesis,15,73
6,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,74,58
6,Biological process,vacuolar transport,89,34
6,Biological process,protein glycosylation,1,28
6,Biological process,protein K63-linked deubiquitination,17,28
6,Biological process,protein folding,9,26
6,Biological process,RNA catabolic process,1,26
6,Biological process,fucosylation,135,20
6,Biological process,photosynthesis,6,19
6,Biological process,protein autoprocessing,1,19
6,Biological process,cellular amino acid metabolic process,2,16
6,Biological process,Golgi vesicle transport,20,16
6,Biological process,cell proliferation,1,14
6,Biological process,intracellular protein transport,2,10
6,Biological process,nitrogen compound metabolism,1,10
6,Biological process,biosynthesis,9,9
6,Biological process,spermine biosynthesis,5,9
6,Biological process,microtubule-based process,12,8
6,Biological process,SRP-dependent cotranslational protein targeting to membrane,1,8
6,Biological process,cell division,8,7
6,Biological process,metabolism,37,7
6,Biological process,macroautophagy,2,6
6,Biological process,proton transmembrane transport,1,6
6,Biological process,exocytosis,1,5
6,Biological process,magnesium ion transmembrane transport,1,5
6,Biological process,potassium ion homeostasis,8,5
6,Biological process,protein import into peroxisome matrix docking,1,5
6,Biological process,regulation of flower development,1,5
6,Biological process,intracellular transport,3,4
6,Biological process,lipid metabolism,4,4
6,Biological process,primary metabolism,2,4
6,Biological process,protein import into mitochondrial inner membrane,1,4
6,Biological process,response to auxin,1,4
6,Biological process,signal transduction,3,4
6,Biological process,tetrahydrofolate biosynthetic process,1,4
6,Biological process,ER to Golgi vesicle-mediated transport,2,3
6,Biological process,mitochondrial calcium ion homeostasis,1,3
6,Biological process,positive regulation of circadian rhythm,17,3
6,Biological process,positive regulation of GTPase activity,2,3
6,Biological process,cell wall modification,1,2
6,Biological process,methylation,18,2
6,Biological process,multicellular organism development,6,2
6,Biological process,phosphatidylinositol dephosphorylation,3,2
6,Biological process,protein import into mitochondrial matrix,1,2
6,Biological process,negative regulation of endopeptidase activity,3,1
6,Biological process,regulation of protein kinase activity,2,1
6,Biological process,fructose 2-6-bisphosphate metabolism,20,0
6,Biological process,hydrogen peroxide catabolism,6,0
6,Biological process,negative regulation of transcription DNA-templated,2,0
6,Biological process,phospholipid biosynthetic process,1,0
6,Cellular component,chloroplast stroma,2,642
6,Cellular component,intracellular,4,414
6,Cellular component,chromosome,57,380
6,Cellular component,integral component of membrane,187,127
6,Cellular component,cell,1,62
6,Cellular component,cell wall,8,24
6,Cellular component,lipid particle,5,23
6,Cellular component,thylakoid,17,15
6,Cellular component,membrane,1,11
6,Cellular component,apoplast,5,10
6,Cellular component,anchored component of membrane,1,5
6,Cellular component,dehydrodolichyl diphosphate synthase complex,29,1
6,Molecular function,chitin binding,32,305
6,Molecular function,ubiquitin protein ligase binding,1,281
6,Molecular function,proteasome-activating ATPase activity,10,264
6,Molecular function,U1 snRNA binding,66,187
6,Molecular function,catalytic activity,7,157
6,Molecular function,ferrochelatase activity,4,103
6,Molecular function,triphosphatase activity,9,102
6,Molecular function,biotin synthase activity,27,69
6,Molecular function,phosphatidylserine decarboxylase activity,2,66
6,Molecular function,translation initiation factor activity,13,54
6,Molecular function,molybdopterin synthase activity,19,39
6,Molecular function,asparagine synthase (glutamine-hydrolyzing) activity,1,34
6,Molecular function,ubiquitin-protein transferase activator activity,1,33
6,Molecular function,hydroquinone:oxygen oxidoreductase activity,12,29
6,Molecular function,DNA polymerase processivity factor activity,2,27
6,Molecular function,lysine-tRNA ligase activity,1,20
6,Molecular function,potassium ion binding,54,20
6,Molecular function,NAD-dependent histone deacetylase activity (H3-K14 specific),1,18
6,Molecular function,auxin binding,1,17
6,Molecular function,quinone binding,1,17
6,Molecular function,channel activity,4,15
6,Molecular function,nutrient reservoir activity,7,12
6,Molecular function,ubiquitin-like modifier activating enzyme activity,2,12
6,Molecular function,isochorismate synthase activity,1,11
6,Molecular function,lipid binding,2,10
6,Molecular function,hydrolase activity,7,9
6,Molecular function,methyltransferase activity,17,8
6,Molecular function,tRNA binding,1,7
6,Molecular function,ligase activity,17,6
6,Molecular function,oxidoreductase activity acting on CH-OH group of donors,3,6
6,Molecular function,fatty-acyl-CoA reductase (alcohol-forming) activity,1,4
6,Molecular function,phosphatidylinositol binding,1,4
6,Molecular function,ubiquitin binding,3,4
6,Molecular function,zinc ion binding,39,4
6,Molecular function,carbohydrate binding,4,3
6,Molecular function,kinase activity,2,2
6,Molecular function,oxidoreductase activity,4,2
6,Molecular function,transcription factor activity sequence-specific DNA binding,2,2
6,Molecular function,2 iron 2 sulfur cluster binding,3,1
6,Molecular function,cofactor binding,1,1
6,Molecular function,hydrolase activity hydrolyzing O-glycosyl compounds,4,1
6,Molecular function,cholestenol delta-isomerase activity,3,0
6,Molecular function,clathrin adaptor activity,13,0
6,Molecular function,isomerase activity,2,0
6,Molecular function,transferase activity,11,0
6,Not characterized,Not characterized,1217,5865
7,Biological process,regulation of cyclin-dependent protein serine/threonine kinase activity,1,842
7,Biological process,plant-type cell wall organization,7,453
7,Biological process,detection of visible light,48,327
7,Biological process,mRNA polyadenylation,88,320
7,Biological process,protein lipoylation,44,223
7,Biological process,protein repair,157,222
7,Biological process,male meiosis II,9,149
7,Biological process,trehalose biosynthetic process,2,127
7,Biological process,microtubule-based process,9,120
7,Biological process,response to hormone,5,79
7,Biological process,dephosphorylation,10,71
7,Biological process,carbon fixation,93,68
7,Biological process,regulation of catalytic activity,7,61
7,Biological process,glutamate metabolism,12,49
7,Biological process,photosynthetic electron transport in photosystem I,2,40
7,Biological process,(1->3)-beta-D-glucan biosynthetic process,3,32
7,Biological process,mRNA catabolic process,1,26
7,Biological process,mRNA splicing via spliceosome,36,23
7,Biological process,glycolytic process,1,19
7,Biological process,ribosome biogenesis,20,19
7,Biological process,protein folding,2,16
7,Biological process,amine metabolism,3,14
7,Biological process,intracellular protein transport,15,14
7,Biological process,xylem development,7,11
7,Biological process,sexual reproduction,4,10
7,Biological process,ATP hydrolysis coupled proton transport,1,9
7,Biological process,hydrogen peroxide catabolism,4,9
7,Biological process,lipid A biosynthetic process,1,9
7,Biological process,oligopeptide transport,39,8
7,Biological process,photosynthesis light harvesting,2,6
7,Biological process,biosynthesis,11,4
7,Biological process,proton transmembrane transport,1,4
7,Biological process,regulation of GTPase activity,1,3
7,Biological process,response to auxin,2,3
7,Biological process,vesicle-mediated transport,1,3
7,Biological process,metal ion transport,1,2
7,Biological process,transcription DNA-templated,2,2
7,Biological process,cellular metabolism,1,1
7,Biological process,methylation,18,1
7,Biological process,phospholipid translocation,1,1
7,Biological process,positive regulation of GTPase activity,2,1
7,Biological process,triglyceride biosynthesis,3,1
7,Biological process,carbohydrate metabolism,40,0
7,Biological process,metabolism,30,0
7,Biological process,photosynthesis,4,0
7,Biological process,regulation of transcription DNA-templated,1,0
7,Cellular component,extracellular region,6,717
7,Cellular component,extracellular space,1,177
7,Cellular component,MCM complex,4,97
7,Cellular component,intracellular,13,47
7,Cellular component,monolayer-surrounded lipid storage body,16,35
7,Cellular component,endoplasmic reticulum membrane,1,19
7,Cellular component,microtubule,1,11
7,Cellular component,membrane,2,4
7,Cellular component,apoplast,1,3
7,Cellular component,cell wall,8,3
7,Cellular component,integral component of membrane,176,2
7,Cellular component,clathrin-coated vesicle,37,0
7,Molecular function,signal recognition particle binding,6,286
7,Molecular function,G-quadruplex RNA binding,21,219
7,Molecular function,aspartyl esterase activity,24,134
7,Molecular function,ubiquitin-protein transferase activity,2,104
7,Molecular function,catalytic activity,9,98
7,Molecular function,protein heterodimerization activity,1,79
7,Molecular function,L-aspartate:2-oxoglutarate aminotransferase activity,1,48
7,Molecular function,clathrin binding,6,46
7,Molecular function,lipid binding,1,41
7,Molecular function,transporter activity,1,39
7,Molecular function,1-phosphatidylinositol binding,9,33
7,Molecular function,heme oxygenase (decyclizing) activity,2,31
7,Molecular function,chitin binding,29,27
7,Molecular function,copper chaperone activity,25,27
7,Molecular function,galactose binding,3,27
7,Molecular function,transcription factor activity sequence-specific DNA binding,1,18
7,Molecular function,auxin binding,1,16
7,Molecular function,ligase activity,6,14
7,Molecular function,carbohydrate binding,6,11
7,Molecular function,transferase activity,11,10
7,Molecular function,heme binding,4,9
7,Molecular function,hydrolase activity,8,9
7,Molecular function,intramolecular lyase activity,4,9
7,Molecular function,glucose-6-phosphate 1-epimerase activity,2,8
7,Molecular function,SUMO transferase activity,9,8
7,Molecular function,chlorophyll binding,35,7
7,Molecular function,phosphatidylcholine 1-acylhydrolase activity,1,6
7,Molecular function,terpene synthase activity,1,5
7,Molecular function,oxidoreductase activity,2,3
7,Molecular function,metal ion binding,14,2
7,Molecular function,lysine-acetylated histone binding,4,1
7,Molecular function,molybdenum ion binding,6,1
7,Molecular function,quinone binding,2,1
7,Not characterized,Not characterized,811,4212
8,Biological process,fucosylation,113,539
8,Biological process,positive regulation of circadian rhythm,10,472
8,Biological process,hydrogen peroxide catabolism,4,355
8,Biological process,ribosomal large subunit biogenesis,8,287
8,Biological process,recognition of pollen,77,286
8,Biological process,mRNA splicing via spliceosome,1,218
8,Biological process,protein autoprocessing,37,159
8,Biological process,S-adenosylmethionine biosynthesis,97,156
8,Biological process,chloroplast fission,29,137
8,Biological process,dephosphorylation,18,116
8,Biological process,glycolytic process,1,106
8,Biological process,carbohydrate metabolism,31,97
8,Biological process,transcription DNA-templated,4,92
8,Biological process,cellular glucan metabolism,1,70
8,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,8,64
8,Biological process,tRNA 5prime-end processing,14,57
8,Biological process,protein folding,9,42
8,Biological process,RNA catabolic process,1,37
8,Biological process,protein maturation by iron-sulfur cluster transfer,25,35
8,Biological process,glutathione biosynthesis,4,30
8,Biological process,cyanide metabolism,16,27
8,Biological process,mitotic spindle assembly checkpoint,1,26
8,Biological process,fatty acid biosynthetic process,1,21
8,Biological process,autophagy,1,20
8,Biological process,translational termination,1,20
8,Biological process,ER to Golgi vesicle-mediated transport,4,17
8,Biological process,ribosome biogenesis,4,16
8,Biological process,metabolism,41,14
8,Biological process,endosome transport via multivesicular body sorting pathway,81,13
8,Biological process,multicellular organism development,1,12
8,Biological process,purine nucleobase biosynthetic process,1,12
8,Biological process,intracellular transport,1,10
8,Biological process,positive regulation of GTPase activity,3,10
8,Biological process,response to light intensity,20,10
8,Biological process,biosynthesis,12,7
8,Biological process,cell proliferation,1,7
8,Biological process,intracellular protein transport,2,7
8,Biological process,response to stress,1,7
8,Biological process,signal transduction,7,6
8,Biological process,metal ion transport,2,5
8,Biological process,protein deubiquitination,2,5
8,Biological process,pectin catabolism,1,3
8,Biological process,phosphatidylinositol phosphorylation,1,3
8,Biological process,plant-type sporogenesis,3,3
8,Biological process,potassium ion transmembrane transport,1,3
8,Biological process,proteolysis involved in cellular protein catabolic process,2,3
8,Biological process,regulation of catalytic activity,1,3
8,Biological process,cellular metabolism,2,2
8,Biological process,defense response to bacterium,23,2
8,Biological process,methylation,20,2
8,Biological process,negative regulation of endopeptidase activity,1,2
8,Biological process,photosynthesis,4,2
8,Biological process,photosynthesis light harvesting,7,2
8,Biological process,proton transmembrane transport,1,2
8,Biological process,xylan biosynthetic process,1,2
8,Biological process,developmental process,1,1
8,Biological process,glycerolipid biosynthetic process,5,1
8,Biological process,phosphorylation,81,1
8,Biological process,regulation of pH,4,1
8,Biological process,vesicle-mediated transport,1,1
8,Biological process,positive gravitropism,8,0
8,Biological process,protein retention in ER lumen,1,0
8,Biological process,tryptophan catabolic process to kynurenine,1,0
8,Biological process,ubiquitin-dependent protein catabolic process,4,0
8,Cellular component,eukaryotic 48S preinitiation complex,24,1109
8,Cellular component,cell wall,4,126
8,Cellular component,prefoldin complex,22,97
8,Cellular component,extracellular region,21,85
8,Cellular component,thylakoid,32,56
8,Cellular component,intracellular,15,50
8,Cellular component,chromoplast,6,16
8,Cellular component,membrane,1,11
8,Cellular component,integral component of membrane,241,6
8,Cellular component,SAGA-type complex,1,3
8,Cellular component,extracellular matrix,2,1
8,Molecular function,coenzyme binding,1,232
8,Molecular function,5S rRNA binding,33,178
8,Molecular function,chitin binding,11,133
8,Molecular function,glycopeptide alpha-N-acetylgalactosaminidase activity,23,131
8,Molecular function,cofactor binding,36,115
8,Molecular function,protein disulfide isomerase activity,4,86
8,Molecular function,chromatin binding,2,83
8,Molecular function,catalytic activity,13,77
8,Molecular function,jasmonate-amino synthetase activity,2,71
8,Molecular function,L-3-cyanoalanine synthase activity,5,70
8,Molecular function,NADPH-adrenodoxin reductase activity,3,54
8,Molecular function,glycine hydroxymethyltransferase activity,19,48
8,Molecular function,ARF guanyl-nucleotide exchange factor activity,2,43
8,Molecular function,aminoacylase activity,26,41
8,Molecular function,potassium ion binding,34,30
8,Molecular function,methionine S-methyltransferase activity,7,28
8,Molecular function,oxidoreductase activity,6,25
8,Molecular function,calmodulin binding,12,22
8,Molecular function,glutathione binding,6,21
8,Molecular function,drug transmembrane transporter activity,4,19
8,Molecular function,chlorophyll binding,4,15
8,Molecular function,lipid binding,4,13
8,Molecular function,transferase activity,13,13
8,Molecular function,translation initiation factor binding,20,9
8,Molecular function,polysaccharide binding,2,8
8,Molecular function,tocopherol cyclase activity,1,8
8,Molecular function,hydrolase activity,4,6
8,Molecular function,nutrient reservoir activity,1,5
8,Molecular function,4 iron 4 sulfur cluster binding,2,4
8,Molecular function,ligase activity,6,4
8,Molecular function,phosphatidylinositol binding,1,4
8,Molecular function,protein dimerization activity,4,3
8,Molecular function,transcription factor activity sequence-specific DNA binding,3,2
8,Molecular function,zinc ion binding,18,2
8,Molecular function,ATP binding,2,1
8,Molecular function,nucleotidyltransferase activity,4,1
8,Molecular function,glucose-6-phosphate 1-epimerase activity,1,0
8,Molecular function,isomerase activity,1,0
8,Not characterized,Not characterized,1134,5305
9,Biological process,regulation of cyclin-dependent protein serine/threonine kinase activity,2,637
9,Biological process,plant-type cell wall organization,6,413
9,Biological process,mRNA splicing via spliceosome,2,330
9,Biological process,dephosphorylation,11,183
9,Biological process,carbohydrate metabolism,38,175
9,Biological process,protein-heme linkage,112,174
9,Biological process,cytokinin metabolism,87,157
9,Biological process,S-adenosylmethionine biosynthesis,37,85
9,Biological process,ethanol oxidation,80,78
9,Biological process,response to biotic stimulus,11,58
9,Biological process,meiotic cell cycle,12,55
9,Biological process,phosphatidylinositol dephosphorylation,3,49
9,Biological process,response to hormone,2,45
9,Biological process,GO:0006351,2,43
9,Biological process,translational termination,2,40
9,Biological process,protein folding,1,34
9,Biological process,regulation of transcription DNA-templated,2,33
9,Biological process,chloroplast mRNA processing,5,31
9,Biological process,SRP-dependent cotranslational protein targeting to membrane,2,26
9,Biological process,glycerol ether metabolism,3,24
9,Biological process,rRNA processing,1,23
9,Biological process,tRNA aminoacylation for protein translation,1,19
9,Biological process,vacuolar transport,45,13
9,Biological process,microtubule-based movement,6,12
9,Biological process,carbon utilization,1,8
9,Biological process,intracellular protein transport,13,7
9,Biological process,actin filament depolymerization,1,6
9,Biological process,leaf development,5,6
9,Biological process,negative regulation of transcription DNA-templated,2,6
9,Biological process,proton transmembrane transport,1,6
9,Biological process,biosynthesis,3,5
9,Biological process,metabolism,20,5
9,Biological process,glycerolipid biosynthetic process,1,4
9,Biological process,actin filament organization,1,3
9,Biological process,ATP hydrolysis coupled proton transport,1,3
9,Biological process,cytochrome complex assembly,1,3
9,Biological process,photosynthesis,3,3
9,Biological process,cellular glucan metabolism,1,2
9,Biological process,response to auxin,3,2
9,Biological process,methylation,10,1
9,Biological process,photosynthesis light harvesting,4,1
9,Biological process,chloroplast organization,13,0
9,Biological process,positive regulation of GTPase activity,7,0
9,Biological process,ribosome biogenesis,19,0
9,Biological process,tRNA processing,2,0
9,Cellular component,DNA topoisomerase complex (ATP-hydrolyzing),2,544
9,Cellular component,extracellular region,1,41
9,Cellular component,cell wall,3,16
9,Cellular component,ribonuclease P complex,2,16
9,Cellular component,eukaryotic 48S preinitiation complex,8,15
9,Cellular component,intracellular,4,14
9,Cellular component,nuclear pore,2,12
9,Cellular component,membrane,1,9
9,Cellular component,apoplast,1,5
9,Cellular component,thylakoid,11,5
9,Cellular component,integral component of membrane,149,2
9,Cellular component,microtubule,1,2
9,Molecular function,molybdenum ion binding,87,697
9,Molecular function,catalytic activity,10,271
9,Molecular function,carboxypeptidase activity,18,248
9,Molecular function,chromatin binding,3,193
9,Molecular function,RNA polymerase II regulatory region sequence-specific DNA binding,37,192
9,Molecular function,glucosamine 6-phosphate N-acetyltransferase activity,39,180
9,Molecular function,ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport ER to cytosol,4,96
9,Molecular function,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,4,83
9,Molecular function,clathrin binding,10,65
9,Molecular function,lactoylglutathione lyase activity,8,52
9,Molecular function,protein phosphatase regulator activity,4,37
9,Molecular function,carbohydrate binding,1,30
9,Molecular function,cyclin-dependent protein serine/threonine kinase inhibitor activity,1,29
9,Molecular function,diaminopimelate epimerase activity,7,29
9,Molecular function,ligase activity,14,29
9,Molecular function,alternative oxidase activity,9,28
9,Molecular function,hydrolase activity,7,28
9,Molecular function,zinc ion binding,25,24
9,Molecular function,phosphatidylinositol binding,28,17
9,Molecular function,calmodulin binding,30,15
9,Molecular function,transferase activity,19,14
9,Molecular function,oxidoreductase activity,5,3
9,Molecular function,4 iron 4 sulfur cluster binding,2,1
9,Molecular function,acyl-CoA hydrolase activity,1,0
9,Molecular function,intramolecular transferase activity,3,0
9,Not characterized,Not characterized,933,4574
10,Biological process,microtubule-based process,52,518
10,Biological process,recognition of pollen,6,362
10,Biological process,protein processing,72,333
10,Biological process,spliceosomal complex assembly,1,304
10,Biological process,cell wall macromolecule catabolism,3,285
10,Biological process,karyogamy,15,269
10,Biological process,cytidine to uridine editing,46,221
10,Biological process,protein ubiquitination,68,149
10,Biological process,chloroplast fission,10,101
10,Biological process,carbon fixation,130,88
10,Biological process,cell wall organization,19,79
10,Biological process,endosomal transport,64,73
10,Biological process,glycolytic process,2,71
10,Biological process,carbohydrate metabolism,30,63
10,Biological process,hydrogen peroxide catabolism,7,61
10,Biological process,detection of visible light,7,40
10,Biological process,S-adenosylmethionine biosynthesis,38,38
10,Biological process,response to red or far red light,16,36
10,Biological process,base-excision repair,1,33
10,Biological process,rRNA processing,1,28
10,Biological process,SRP-dependent cotranslational protein targeting to membrane,1,27
10,Biological process,regulation of transcription DNA-templated,1,26
10,Biological process,endosome transport via multivesicular body sorting pathway,12,21
10,Biological process,translational termination,1,21
10,Biological process,potassium ion homeostasis,8,19
